sentiment,word
1,yes
-1,no
1,a1
1,aapl
1,abalone
-1,abandon
-1,abandoned
-1,abandonment
-1,abase
-1,abasement
-1,abash
-1,abashed
-1,abashment
-1,abatacept
-1,abate
1,abatement
-1,abattoir
-1,abaxially
-1,abbot
1,abbr
-1,abbreviate
-1,abdicate
-1,abdication
1,abdoman
-1,abdominal
1,abdominoplasty
1,abduce
-1,abduct
-1,abductee
-1,abduction
1,abductor
1,abelian
-1,aberrance
-1,aberrancy
1,aberrant
1,aberrantly
-1,aberration
-1,abetalipoproteinemia
1,abettor
-1,abeyance
1,abhor
1,abhorrence
-1,abhorrent
1,abidance
1,abide
1,ability
-1,abject
-1,abjection
-1,abjectly
-1,abjectness
-1,abjuration
-1,abjure
1,ablate
1,ablaze
1,ablest
-1,ably
-1,abnegate
-1,abnegation
-1,abnormal
-1,abnormality
-1,abnormally
-1,aboard
1,abode
1,abolish
-1,abolishment
-1,abolition
1,abolitionism
1,abolitionist
-1,abomasum
-1,abominable
1,abominably
1,abominate
-1,abomination
-1,aboon
1,aboriginal
1,aborigine
-1,abort
-1,aborticide
1,abortifacient
-1,abortion
-1,abortive
-1,abortus
-1,aboulia
-1,aboulic
-1,abound
1,above-average
1,aboveboard
1,aboveground
-1,abovesaid
-1,abracadabra
-1,abrade
-1,abrasion
-1,abrasive
-1,abrasively
1,abreaction
-1,abreast
1,abridge
-1,abridged
1,abridgement
1,abridgment
-1,abrin
1,abrogate
1,abrogation
-1,abrupt
-1,abruptly
1,abruptly-pinnate
-1,abruptness
1,abs
-1,abscess
-1,abscessed
-1,abscission
1,abscond
-1,abseil
-1,absence
-1,absent
-1,absentia
1,absently
-1,absentmindedly
-1,absolutepunk
1,absolution
-1,absolutism
-1,absolutist
-1,absolutistic
-1,absolutive
-1,absolve
1,absolvitory
1,absorb
1,absorbance
-1,absorbant
1,absorbency
-1,absorbent
1,absorbing
1,absorption
-1,absorptive
1,absquatulate
1,abstainer
1,abstemious
1,abstemiousness
1,abstention
-1,abstinence
-1,abstinent
-1,abstractedly
1,abstraction
1,abstractionism
-1,abstractive
1,abstractly
1,abstruse
-1,absurd
-1,absurdism
-1,absurdist
-1,absurdity
-1,absurdly
-1,abuelo
-1,abulia
